0,(((0, 0), 'None'), u'accept_S2')
1,(((0, 0), 'None'), u'T0_init')
2,(((3, 3), 'None'), u'accept_S2')
3,(((2, 3), 'None'), u'accept_S2')
4,(((3, 3), 'None'), u'T0_init')
5,(((0, 3), 'None'), u'accept_S2')
6,(((1, 0), 'None'), u'accept_S2')
7,(((3, 0), 'None'), u'T0_init')
8,(((3, 0), 'None'), u'accept_S2')
9,(((0, 2), 'None'), u'accept_S2')
10,(((1, 0), 'None'), u'T0_init')
11,(((0, 1), 'None'), u'accept_S2')
12,(((3, 2), 'None'), u'accept_S2')
13,(((0, 2), 'None'), u'T0_init')
14,(((1, 2), 'None'), u'T0_init')
15,(((0, 3), 'None'), u'T0_init')
16,(((1, 1), 'None'), u'accept_S2')
17,(((2, 2), 'None'), u'accept_S2')
18,(((3, 1), 'None'), u'T0_init')
19,(((1, 3), 'None'), u'accept_S2')
20,(((1, 3), 'None'), u'T0_init')
21,(((2, 1), 'None'), u'T0_init')
22,(((2, 1), 'None'), u'accept_S2')
23,(((2, 0), 'None'), u'accept_S2')
24,(((1, 2), 'None'), u'accept_S2')
25,(((2, 0), 'None'), u'T0_init')
26,(((3, 2), 'None'), u'T0_init')
27,(((2, 3), 'None'), u'T0_init')
28,(((0, 1), 'None'), u'T0_init')
29,(((1, 1), 'None'), u'T0_init')
30,(((2, 2), 'None'), u'T0_init')
31,(((3, 1), 'None'), u'accept_S2')
